FID,Id,Shape_Leng,Shape_Area,SUM_Length
0,0,1572039.882,1.51725E+11,0
1,0,1439332.239,1.22179E+11,0
2,0,1045796.3,34562558637,0
3,0,1643591.454,1.67655E+11,0
4,0,1675767.549,1.7238E+11,313.3862083
5,0,1439881.255,1.22301E+11,0
6,0,4394717.133,1.67622E+11,2534.351143
7,0,1572039.882,1.51725E+11,0
8,0,1440563.846,1.11119E+11,39.94779576
9,0,1777597.481,1.96905E+11,3.610257359
10,0,1045796.3,34562558637,0
11,0,1337535.702,99515122058,0
12,0,1752700.961,1.8937E+11,26.26313427
13,0,1786417.56,1.96897E+11,11.44224871
14,0,983885.745,20778855806,0
15,0,1531118.199,1.42614E+11,0
16,0,2698444.314,1.34154E+11,1296.122991
17,0,1486482.832,1.32677E+11,0
18,0,1282796.024,87327935917,0
19,0,1724135.161,71970881873,1116.482195
20,0,1282796.024,87327935917,0
21,0,1174242.871,13934480133,436.5895397
22,0,1776070.664,1.9505E+11,0
23,0,1389981.67,1.11192E+11,0
24,0,1842315.833,1.85116E+11,104.935241
25,0,1772901.931,1.96445E+11,0
26,0,1225379.341,74544744042,0
27,0,2148642.264,37445197945,602.2074852
28,0,851469.0036,10966196202,480.0399247
29,0,519533.9492,1319408782,171.371662
30,0,1548599.615,11776185454,1177.278212
31,0,1531118.199,1.42614E+11,0
32,0,4433219.006,1.35009E+11,3097.95754
33,0,1337535.702,99515122080,0
34,0,1531118.199,1.42614E+11,0
35,0,1756077.902,1.92699E+11,0
36,0,1766547.624,1.9503E+11,0
37,0,434748.2149,3916716482,236.6723828
38,0,1609584.555,1.60084E+11,0
39,0,1045796.3,34562558637,0
40,0,1282796.024,87327935917,0
41,0,3268464.652,61775814386,1906.854106
42,0,1337535.702,99515122058,0
43,0,1389402.517,1.11063E+11,0
44,0,1389981.67,1.11192E+11,0
45,0,1106892.171,48164881225,0
46,0,1531118.199,1.42614E+11,0
47,0,1785912.139,1.85126E+11,62.8530726
48,0,1439332.239,1.22179E+11,0
49,0,1531118.199,1.42614E+11,0
50,0,1337535.702,99515122058,0
51,0,2773931.766,1.64516E+11,1104.03211
52,0,1673918.497,1.74407E+11,0
53,0,1889574.985,17043716875,791.5125751
54,0,1337535.702,99515122080,0
55,0,1722822.561,1.85295E+11,0
56,0,3038820.065,1.2434E+11,1476.911835
57,0,5360061.058,12405449770,2638.562209
58,0,1226031.587,74689959517,0
59,0,1389981.67,1.11192E+11,0
60,0,1389981.67,1.11192E+11,0
61,0,1572039.882,1.51725E+11,0
62,0,1609584.555,1.60084E+11,0
63,0,1572039.881,1.51725E+11,0
64,0,1167526.234,61664387293,0
65,0,1572039.882,1.51725E+11,0
66,0,1772901.931,1.96445E+11,0
67,0,2159853.08,68700605664,1196.200812
68,0,1465708.091,43856883336,660.8944683
69,0,2569968.698,20671681087,969.7442034
70,0,1282796.024,87327935897,0
71,0,1337535.702,99515122080,0
72,0,1766547.624,1.9503E+11,0
73,0,1772901.931,1.96445E+11,0
74,0,2453767.984,70108919397,823.703245
75,0,725008.6969,7504254592,325.7943644
76,0,1166855.981,61515162728,0
77,0,1486999.152,1.32792E+11,0
78,0,2470334.372,25543341319,518.618054
79,0,1348282.785,99310047164,59.65521034
80,0,1700441.959,1.80312E+11,0
81,0,1756219.401,1.9273E+11,0
82,0,1765177.217,1.92725E+11,8.935827416
83,0,1756219.401,1.9273E+11,0
84,0,1700436.856,1.80311E+11,0
85,0,1772901.931,1.96445E+11,0
86,0,2394522.904,52368752229,1781.645549
87,0,1486999.151,1.32792E+11,0
88,0,4071308.104,12733015402,3412.529128
89,0,1609179.583,1.59994E+11,0
90,0,1976853.926,1.95855E+11,201.8801933
91,0,1531118.199,1.42614E+11,0
92,0,1440174.814,1.223E+11,3.913030519
93,0,1756219.402,1.9273E+11,0
94,0,3462461.271,17706123690,1402.516627
95,0,1673596.678,1.74335E+11,0
96,0,1673918.497,1.74407E+11,0
97,0,1389402.517,1.11063E+11,0
98,0,983885.7452,20778855811,0
99,0,1486999.152,1.32792E+11,0
100,0,1756077.902,1.92699E+11,0
101,0,244247.765,2472027145,147.484519
102,0,1990834.336,1.73435E+11,299.783473
103,0,1439881.255,1.22301E+11,0
104,0,1609584.555,1.60084E+11,0
105,0,1572039.881,1.51725E+11,0
106,0,1166855.981,61515162728,0
107,0,1045796.3,34562558637,0
108,0,1045796.3,34562558637,0
109,0,1741672.329,1.89492E+11,0
110,0,1869911.611,1.94962E+11,92.46399935
111,0,1796922.4,1.55421E+11,501.9437767
112,0,3289317.74,24688834298,1170.667623
113,0,1348736.933,26623067077,249.8982509
114,0,1609584.555,1.60084E+11,0
115,0,1282796.024,87327935917,0
116,0,1531118.199,1.42614E+11,0
117,0,1167526.234,61664387307,0
118,0,1772854.531,1.96434E+11,0
119,0,1723056.03,1.85347E+11,0
120,0,2016829.727,1.40635E+11,925.3009706
121,0,1439332.239,1.22179E+11,0
122,0,1531118.199,1.42614E+11,0
123,0,1773604.876,1.91978E+11,76.67903053
124,0,1160734.126,61053834560,36.38314048
125,0,1756219.402,1.9273E+11,0
126,0,1337535.702,99515122058,0
127,0,1723056.03,1.85347E+11,0
128,0,2345070.432,23658508911,1360.218137
129,0,530872.8672,1109377555,312.6197809
